date_only,month,max_speed,angle,circular_mean,circular_var,circular_median,circular_IQR
2023-01-01,1,13.63,245,58.39104486378845,0.3437113122654165,59,33.99999999999997
2023-01-02,1,14.6,247,37.85841656148724,0.32334237156478196,39.500000000000014,36.999999999999986
2023-01-03,1,14.6,20,22.908723118279546,0.24039303948531932,18,38.00000000000002
2023-01-04,1,13.74,37,44.38206738832496,0.22945882556352304,46,32.99999999999999
2023-01-05,1,13.47,218,56.60041614435064,0.5881990067673292,70.5,57.00000000000001
2023-01-06,1,14.1,229,30.5025588700908,0.45475639850264526,36.999999999999986,47.99999999999996
2023-01-07,1,13.71,288,146.15969967200894,0.38276173715047834,141.49999999999997,34.00000000000003
2023-01-08,1,14.64,208,38.8759097528062,0.4338234093633424,44.000000000000014,46.000000000000014
2023-01-09,1,13.28,233,53.1631595800919,0.4272540063664456,58,33.999999999999986
2023-01-10,1,14.6,227,2.7265198465063416,0.5174035311720505,46.99999999999999,56.00000000000003
2023-01-11,1,14.64,32,43.28396597974143,0.19851600457257257,47.5,28
2023-01-12,1,13.24,78,29.74601199065098,0.4440956833936781,34,50.999999999999986
2023-01-13,1,12.77,345,174.63901257675244,0.3916904153637931,142.5,47
2023-01-14,1,13.32,318,148.2338574503743,0.5889554624797024,144,52.99999999999997
2023-01-15,1,14.17,54,37.746170053829445,0.5515049807788789,49,56.000000000000014
2023-01-16,1,14.64,45,38.18949329350916,0.624924405119531,55,86.99999999999999
2023-01-17,1,14.64,121,92.7006439781484,0.8395812602394802,91,77
2023-01-18,1,13.51,268,59.39387436639353,0.6046139293764645,64.99999999999997,51.99999999999995
2023-01-19,1,13.78,44,49.26296795878961,0.24996127588104755,52.00000000000002,20.999999999999993
2023-01-20,1,12.96,308,176.70364469048872,0.6065996098739346,115.50000000000001,55
2023-01-21,1,12.73,246,37.225668060646186,0.23485269375384676,31.000000000000004,23.00000000000002
2023-01-22,1,12.61,201,2.9138518347567213,0.6070531549686304,91.99999999999997,42
2023-01-23,1,12.49,71,23.849226464259306,0.489368134001536,36,60.000000000000014
2023-01-24,1,12.53,223,54.8847586816284,0.5644641633174989,61.00000000000002,43.99999999999999
2023-01-25,1,12.42,62,42.7856955676428,0.22842562159806334,43.99999999999999,30
2023-01-26,1,12.34,309,65.19623552949236,0.4693895704854997,65,38.99999999999998
2023-01-27,1,12.53,352,21.606903443122295,0.2749910855220977,36,36.00000000000002
2023-01-28,1,13.16,269,45.171159246656465,0.38566617617986954,51.50000000000002,39.999999999999986
2023-01-29,1,12.49,208,28.85656838697189,0.42247787812185833,35.5,50
2023-01-30,1,12.34,274,31.428605587628027,0.5080187065255051,52.00000000000002,58.00000000000004
2023-01-31,1,13.16,242,70.0332480587694,0.765115548103611,66.00000000000001,56.99999999999996
2023-02-01,2,14.57,191,44.700513124174016,0.49467435846735397,56.5,45
2023-02-02,2,14.6,195,30.320012133399192,0.39528776340899585,36.999999999999986,37.99999999999994
2023-02-03,2,14.6,314,117.97146828253642,0.2777479401413314,116.99999999999999,33.000000000000014
2023-02-04,2,14.64,156,28.74695760810934,0.5450407063012488,46,83
2023-02-05,2,14.6,188,25.172394982234696,0.30993756410938234,33.00000000000001,39.000000000000014
2023-02-06,2,14.64,0,171.37689480819884,0.39361274566625404,157.99999999999997,59.00000000000003
2023-02-07,2,14.6,4,39.02186329316221,0.7462557665236176,55,74.99999999999997
2023-02-08,2,14.6,229,60.677133927818346,0.2521949959319897,61.00000000000002,31
2023-02-09,2,14.6,48,38.83776089302538,0.5179863028031231,44.49999999999999,53
2023-02-10,2,14.6,226,55.0334912566991,0.27698228565592475,55.99999999999997,25.000000000000014
2023-02-11,2,14.64,305,68.30951513841222,0.704861273978917,73.5,66
2023-02-12,2,14.64,247,64.48172576567192,0.6602261898236305,66,69.99999999999997
2023-02-13,2,14.64,250,84.4017168381469,0.4364539086293766,85.5,43.999999999999986
2023-02-14,2,14.64,269,52.480859912183384,0.6639635449303342,72.5,67.00000000000003
2023-02-15,2,14.64,188,22.08140097552262,0.7158840429511149,54.999999999999986,73.00000000000001
2023-02-16,2,14.6,246,54.09739579689127,0.382925583234898,54.49999999999999,37.999999999999986
2023-02-17,2,14.6,31,30.88811415879012,0.04693246276139629,31,1.0000000000000036
2023-02-18,2,14.64,31,30.489582275964274,1.5223873404324184e-4,29.999999999999996,1.0000000000000036
2023-02-19,2,14.64,230,25.232386878721876,0.243248560330397,31,15.99999999999999
2023-02-20,2,14.64,301,12.723896800238345,0.5196378345438754,30.50000000000001,83.00000000000001
2023-02-21,2,14.64,72,38.85563944503453,0.45537302816273517,49.499999999999986,37.999999999999986
2023-02-22,2,14.6,345,9.08783082662287,0.6014685010422696,66.5,54.00000000000003
2023-02-23,2,13.43,11,43.919287071192365,0.3560233624374193,49,34
2023-02-24,2,14.6,277,116.00705291200157,0.5172237170459175,112,63.00000000000006
2023-02-25,2,14.57,21,7.5506507613613385,0.4420201629815784,68,47.99999999999997
2023-02-26,2,14.6,309,5.659212009482779,0.8452245890682827,89,78
2023-02-27,2,14.68,44,45.77254980171305,0.6053100325651386,56,70
2023-02-28,2,14.6,100,54.22754434977043,0.4388499041031183,56.5,34.999999999999986
2023-03-01,3,14.64,202,52.21153086216775,0.6061803272460515,60.5,58.99999999999997
2023-03-02,3,14.6,272,73.75920774039292,0.8764872844518934,86.5,88
2023-03-03,3,14.6,3,16.887105960670308,0.3655866864061592,27.5,51
2023-03-04,3,14.41,324,30.535931493577174,0.5029920936972427,42.5,46.000000000000014
2023-03-05,3,14.6,210,28.104029077497202,0.8820198495379463,79,85.99999999999997
2023-03-06,3,14.68,316,118.59344376487938,0.9421125769349016,98.49999999999999,85
2023-03-07,3,14.64,317,141.83086583902718,0.46624554899670156,137.00000000000003,43.99999999999994
2023-03-08,3,14.6,290,124.51014403082272,0.537800374084987,122.49999999999997,45.999999999999986
2023-03-09,3,14.6,352,162.30534752597976,0.8186965460641629,107.49999999999999,65
2023-03-10,3,14.64,15,32.376346039519184,0.17140000753402085,33.50000000000001,21
2023-03-11,3,14.6,30,10.039906022802972,0.6369018737564159,40.5,79
2023-03-12,3,14.6,103,177.34473717208186,0.764101950786813,102.99999999999999,72
2023-03-13,3,14.64,199,43.28743922691384,0.6723313860208098,75.00000000000001,58
2023-03-14,3,14.6,11,176.19607477709138,0.15243508471609457,29.999999999999996,13.999999999999972
2023-03-15,3,14.6,293,88.77374222399405,0.5225012429793727,93.99999999999999,53
2023-03-16,3,14.64,232,34.5438945155436,0.5869116627209249,53.5,71
2023-03-17,3,14.64,216,11.24144389834102,0.6650913929579456,68.49999999999999,38
2023-03-18,3,14.64,252,61.41407125888598,0.32741969893795264,63,29.00000000000003
2023-03-19,3,14.6,215,59.03074748282582,0.31048715237702507,61.00000000000002,27.999999999999986
2023-03-20,3,14.6,232,42.54735147454891,0.38223770143121283,48.499999999999986,37.000000000000014
2023-03-21,3,14.64,232,19.826791564460756,0.6293629752345924,38.50000000000001,80.99999999999999
2023-03-22,3,14.68,73,42.210877131491785,0.25317785326412556,41.49999999999999,32
2023-03-23,3,14.6,247,59.3603199944835,0.676085009505345,63.49999999999999,53
2023-03-24,3,14.64,319,70.754054028366,0.8152065754944723,80.00000000000001,77
2023-03-25,3,14.6,62,54.315288559544065,0.457305278848121,58,40
2023-03-26,3,14.6,266,54.08730485646589,0.3957344088170688,54,34.00000000000002
2023-03-27,3,14.68,131,63.30031736037468,0.8196647440145627,62,69
2023-03-28,3,14.6,323,25.47333868598933,0.621951012777946,37,73
2023-03-29,3,14.64,189,31.153501237474014,0.6026696728338836,45.49999999999999,77
2023-03-30,3,14.64,268,86.40528259407763,0.5795232222409821,86.5,48.99999999999995
2023-03-31,3,14.64,170,6.9061066180200985,0.5700298003246995,59.99999999999999,46
2023-04-01,4,14.64,203,36.30929688099844,0.7550291946791496,66.50000000000001,85
2023-04-02,4,14.64,241,121.40102298150609,0.8280595297869209,101.49999999999996,79.99999999999997
2023-04-03,4,14.64,163,44.5760672103705,0.7856283555695622,65.5,80.99999999999994
2023-04-04,4,14.68,30,34.45125729342994,0.2777592492925375,39,37.00000000000001
