image_name,circular_mean,circular_variance,circular_median,circular_IQR,quantile_25,quantile_50,quantile_75
DJI_0256,29.914194391329655,0.9430149803781993,86.08743140204984,87.38216552202806,41.3689790003667,86.08743140204984,133.98681347833863
DJI_0344,55.773657686365844,0.9335258066334384,86.14511292683486,87.3633384668572,43.77968274489787,86.14511292683486,131.14302121175507
DJI_0345,44.455178800657045,0.9222267468105192,84.29504377820622,89.39378221610835,42.21614003035518,84.29504377820622,131.60992224646353
DJI_0346,47.72170959284713,0.9124161048337402,82.80468338492244,88.9203942660477,42.10696234294208,82.80468338492244,131.02735660898978
DJI_0347,65.80437207346849,0.9409533113725633,86.9289621567902,86.16921056726527,45.242497041708944,86.9289621567902,131.4117076089742
DJI_0348,52.00850021044197,0.9247211082040732,84.85946678974724,87.97442289842985,42.99879858487781,84.85946678974724,130.97322148330767
DJI_0349,46.11966808948899,0.8976078017628196,82.3939090504347,88.05829062430614,42.001216107785936,82.3939090504347,130.05950673209207
DJI_0350,58.68163829778584,0.9010175867803293,83.26878803029375,85.47228116272692,43.37787781799298,83.26878803029375,128.8501589807199
DJI_0351,49.830972527671925,0.892279786968561,81.53563807307528,87.60958177496013,41.81110337502698,81.53563807307528,129.42068514998712
DJI_0352,33.3479733761427,0.9651190728676544,86.89614137678937,89.18517493380621,43.08471337796523,86.89614137678937,133.89953844415902
DJI_0353,30.5652290712318,0.9807865996575822,89.30562063452065,89.21074368621348,44.301660429190726,89.30562063452065,135.09091674297724
DJI_0354,53.44801212494471,0.8913732511153911,82.20082029705036,85.72706995705005,42.61071911595153,82.20082029705036,128.33778907300157
DJI_0355,51.049865751631216,0.9260724593385246,84.58135561612627,87.88912557577268,43.179892586150665,84.58135561612627,131.06901816192334
DJI_0356,56.00032442015548,0.9086368206090525,82.57345918002078,86.81517530781964,42.29921264146331,82.57345918002078,129.11438794928296
DJI_0357,134.69315449269868,0.9376471437581378,93.43831535448622,89.72141677082286,46.911921281373544,93.43831535448622,136.6333380521964
DJI_0358,41.08313803840929,0.9222725945964394,84.53346237375027,89.49491913525694,42.03771714673226,84.53346237375027,132.54279801147533
DJI_0359,38.87908902525956,0.9403331997807389,85.15289328471323,89.32418763127075,42.02417850343826,85.15289328471323,132.69999087216752
DJI_0360,44.62881766106915,0.8659018329791806,79.68439527580709,87.7911593138767,40.89260647531674,79.68439527580709,128.68376578919344
DJI_0361,42.52611545316227,0.8562947834764797,78.74206879063037,88.58691352230635,39.67138918414936,78.74206879063037,128.2583027064557
DJI_0362,44.359150597066154,0.8423790496740557,77.42607052385497,87.18636001653391,39.74053618317708,77.42607052385497,126.926896199711
DJI_0363,44.382481149001855,0.9062447055895175,82.892554590546,89.67736994103231,41.62129504997606,82.892554590546,131.29866499100837
DJI_0364,41.221355288900064,0.8302250095334465,76.99144553611107,88.87339286099916,38.90864829434515,76.99144553611107,127.7820411553443
DJI_0365,29.373448716970362,0.9195688255255523,84.41195662858871,87.02149096607525,41.13816874458473,84.41195662858871,134.11667777850948
DJI_0366,35.08517481299093,0.9060656392086709,82.53989988748495,88.17545629320696,40.47058030747129,82.53989988748495,132.29512401426433
DJI_0367,27.688520761934296,0.9108687355941436,82.41548642112178,86.6867080583655,39.46696824010062,82.41548642112178,132.78026018173512
DJI_0368,38.23953384465677,0.9505231669712784,86.50867822515887,89.04627416390525,43.13418346538106,86.50867822515887,134.0879093014758
DJI_0369,11.276326253008536,0.9451728992740978,87.98129742224772,86.64266951034625,42.17558539820104,87.98129742224772,135.53291588785478
DJI_0370,38.46357650259078,0.812741865500104,76.047412801738,89.61805338990125,37.98980880792412,76.047412801738,128.37175541802287
DJI_0371,173.32292865904594,0.9727179663207692,89.8978354827884,87.57360603633899,43.299606862312224,89.8978354827884,135.72600082597324
