image_name,date_taken,circular_mean,circular_variance,circular_median,circular_IQR,quantile_25,quantile_50,quantile_75
DJI_0256,2022-11-14,119.0031572991174,0.9441383702993188,92.9610600537042,86.70117408379332,48.60444496250171,92.9610600537042,135.30561904629502
DJI_0344,2023-04-20,149.68052231705772,0.9267529338546912,94.54577300399148,87.70444370912624,46.07761505178438,94.54577300399148,138.37317134265814
DJI_0345,2023-04-20,136.32952273815238,0.9200480690765026,96.49958202885924,89.66096502852189,47.905055046664486,96.49958202885924,137.56602007518637
DJI_0346,2023-04-20,137.3432399609397,0.9046442147178309,97.34860646114092,89.45596949945315,48.80069031557966,97.34860646114092,138.2566598150328
DJI_0347,2023-04-20,154.98801629482068,0.9353214414543796,94.0016917203187,86.63138838098288,44.76606458790186,94.0016917203187,138.13467620691898
DJI_0348,2023-04-20,142.22940795324897,0.9233893925114663,95.90521847854176,89.31063741149401,47.32153058983291,95.90521847854176,138.0108931783389
DJI_0349,2023-04-20,136.9813394172105,0.8983434626746368,97.69274610001646,89.97316553745162,48.57598332157869,97.69274610001646,138.5491488590303
DJI_0350,2023-04-20,150.99242484589251,0.904480114716104,97.03779716545954,86.77354567241372,46.89284681203764,97.03779716545954,140.11930113962393
DJI_0351,2023-04-20,139.0878240230656,0.8802622649722313,99.9410928552653,89.4574464638627,50.112255024295095,99.9410928552653,139.5697014881578
DJI_0352,2023-04-20,124.23031129130244,0.9676104024057932,92.37703153189756,89.05880474124118,46.51882261762294,92.37703153189756,135.5776273588641
DJI_0353,2023-04-20,122.89444829409916,0.9818371007898916,91.08823409712916,89.03601437795024,46.08110151972013,91.08823409712916,135.11711589767037
DJI_0354,2023-04-20,142.93657894323988,0.8906718812451162,98.52976925258145,88.28189813115334,47.97979543774254,98.52976925258145,139.6978973065892
DJI_0355,2023-04-20,140.0467193030081,0.914953313549396,96.49599262189264,89.22420835811741,48.243069100291216,96.49599262189264,139.0188607421738
DJI_0356,2023-04-20,144.89765354995555,0.9144240118762572,97.30818259765496,88.75796265293499,47.508119865912526,97.30818259765496,138.75015721297754
DJI_0357,2023-04-20,42.58510853522679,0.9400481611681016,85.87615953759664,89.7443797987315,42.73090430334051,85.87615953759664,132.986524504609
DJI_0358,2023-04-20,130.72102509207798,0.9194154363747707,96.05720825523632,88.22587233676815,49.388862974278126,96.05720825523632,137.61473531104627
DJI_0359,2023-04-20,128.0515090217878,0.9423575365151322,94.03379862670285,88.41595750263164,47.816019900007895,94.03379862670285,136.23197740263953
DJI_0360,2023-04-20,134.56005582016874,0.8703277565645892,99.5598228731793,87.87478188251914,51.16970369166195,99.5598228731793,139.0444855741811
DJI_0361,2023-04-20,133.22096318187783,0.8621648319744513,100.24291467438792,87.23431647604431,51.7649055881482,100.24291467438792,138.9992220641925
DJI_0362,2023-04-20,134.79751218815403,0.8440588830996214,101.95832425724718,86.89551815475964,52.8973979910016,101.95832425724718,139.79291614576124
DJI_0363,2023-04-20,135.17620907477527,0.9077795535616564,96.83182399703831,89.23433292315741,48.86713808959589,96.83182399703831,138.1014710127533
DJI_0364,2023-04-20,131.43143400696252,0.8241473133286464,103.06449656878404,84.96511238134573,53.89292340046623,103.06449656878404,138.85803578181196
DJI_0365,2023-04-20,120.4323080099052,0.9147502386698284,95.3789168253717,86.12044446072795,49.67838525178547,95.3789168253717,135.79882971251342
DJI_0366,2023-04-20,124.90878069523453,0.9101445481176356,96.23686830621897,86.07194182712722,50.36841268026727,96.23686830621897,136.4403545073945
DJI_0367,2023-04-20,118.14226361754356,0.911365733639643,96.43361050819664,85.01930827113414,50.88189932603957,96.43361050819664,135.9012075971737
DJI_0368,2023-04-20,131.17145794470775,0.9419717212914676,94.02927372870664,88.91296019549739,47.94785239182326,94.02927372870664,136.86081258732065
DJI_0369,2023-04-20,101.25725214335117,0.9445164235371892,91.82670721340028,86.2021177874736,47.98853505368031,91.82670721340028,134.1906528411539
DJI_0370,2023-04-20,129.0061330595669,0.8120493188126036,102.75637225348946,83.30028966084171,55.65684824692129,102.75637225348946,138.957137907763
DJI_0371,2023-04-20,101.2110538115139,0.975177485850772,90.7518699559454,88.11316926061858,46.10295349246246,90.7518699559454,134.21612275308104
DJI_0372,2023-04-20,140.4886537984739,0.990300130659142,90.16009476800744,89.4328474118669,44.68836204844283,90.16009476800744,135.25551463657592
DJI_0373,2023-04-20,137.18345079320798,0.8074885519899303,105.33588932424784,86.12294101474453,54.77278126393352,105.33588932424784,140.89572227867805
DJI_0374,2023-04-20,123.42788242726232,0.9802333483753338,91.89281425702956,89.29311924875654,46.19051399878192,91.89281425702956,135.48363324753845
LL aerial1,2022-03-11,128.2395806605242,0.9763484750039844,91.79525013383694,89.79048353908578,45.954471372207394,91.79525013383694,135.74495491129318
LL grass,2022-12-11,83.17564312703622,0.922719149325446,88.99994249456057,83.80430820519753,47.16271017411826,88.99994249456057,130.9670183793158
LL grass1 March 2023,2022-12-11,85.66202663082541,0.9721074740238212,89.41570535403315,87.92863861486242,45.77460780932113,89.41570535403315,133.70324642418356
LL grass10 March 2023,2023-04-20,137.8387343452799,0.8993657819301537,98.08832255697554,89.6814999276437,49.32052838200895,98.08832255697554,139.00202830965264
LL grass11 March 2023,2023-04-20,156.4501912123484,0.9366214464938402,93.3169032971453,85.86295228212855,44.21517539700814,93.3169032971453,138.3522231148796
LL grass12 March 2023,2023-04-20,142.96651318586785,0.9218919145346754,95.15668612047416,88.46800582248572,46.51540790002217,95.15668612047416,138.04740207753645
LL grass13 March 2023,2023-04-20,135.66668577796258,0.8951036758640394,98.30232542004994,89.06515539104771,49.41781395672601,98.30232542004994,138.48296934777372
LL grass15 March 2023,2023-04-20,139.3846724216245,0.8710631980231798,100.72029437771371,89.8252698177621,50.61737121016553,100.72029437771371,140.44264102792764
LL grass16 March 2023,2023-04-20,129.4223956796853,0.9675789396664892,93.0802101366464,89.41553576421924,47.00178791632115,93.0802101366464,136.4173236805404
LL grass17 March 2023,2023-04-20,125.01098263202807,0.9794809408851484,91.01701868340984,89.36762193202517,45.63237806797482,91.01701868340984,135
LL grass18 March 2023,2023-04-20,145.84211028841375,0.8940964670588909,98.4761194557199,87.50045703710614,47.59121282616903,98.4761194557199,140.09075578906288
LL grass19 March 2023,2023-04-20,141.42972112720696,0.916355726726698,96.28801278189516,89.10711698198503,47.36370612427863,96.28801278189516,138.2565891422936
LL grass2 March 2023,2022-12-11,97.57111299760643,0.9346451545795448,90.9631149262221,84.09633277430075,48.78175506237407,90.9631149262221,132.8780878366748
LL grass20 March 2023,2023-04-20,131.310018671348,0.9170734313997712,95.72885933274124,88.2974730107918,48.897645048528865,95.72885933274124,137.19511805932066
LL grass21 March 2023,2023-04-20,128.49849575384292,0.9428251477644308,93.69719711387104,89.1581543461261,47.15411858442904,93.69719711387104,136.31227293055514
LL grass22 March 2023,2023-04-20,134.1442264199324,0.8617274129743939,100.48126410374276,87.23925537052733,52.19396816468347,100.48126410374276,139.4332235352108
LL grass23 March 2023,2023-04-20,133.0384136779931,0.8701978864329369,100.24718005884858,87.3805169313701,51.339117785656754,100.24718005884858,138.71963471702685
LL grass24 March 2023,2023-04-20,134.64143749506223,0.8430624607947778,102.2666408305568,86.98617794769063,52.5264817071062,102.2666408305568,139.51265965479683
LL grass25 March 2023,2023-04-20,135.33593553471457,0.902620592751211,97.10384609615475,89.60872031131176,49.10656879411708,97.10384609615475,138.71528910542884
LL grass26 March 2023,2023-04-20,131.7322107942939,0.8313725126284255,101.7405477837492,86.04497181406904,53.18884966164645,101.7405477837492,139.2338214757155
LL grass27 March 2023,2023-04-20,120.6289098950653,0.924931652008317,94.97797389685952,86.82196845614766,48.95312445485064,94.97797389685952,135.7750929109983
LL grass28 March 2023,2023-04-20,126.04168745945248,0.9071355429554732,96.75805913671624,87.1761448786144,49.71897994307867,96.75805913671624,136.89512482169306
LL grass29 March 2023,2023-04-20,117.08739389658564,0.9132842310093,96.01656441547487,85.36529933463979,50.29324384292332,96.01656441547487,135.6585431775631
LL grass3 March 2023,2022-12-11,93.17361961295116,0.9425536134496092,89.99085900143157,84.87513229468036,47.68923435142427,89.99085900143157,132.56436664610462
LL grass30 March 2023,2023-04-20,125.0088537899518,0.94525745278771,93.30979595987104,88.1276147171392,47.584421059196885,93.30979595987104,135.71203577633608
LL grass31 March 2023,2023-04-20,126.71042818884992,0.9836915374225954,90.79959536304366,89.88839873066647,45.33956735887754,90.79959536304366,135.227966089544
