image_name,circular_mean,circular_variance,circular_median,circular_IQR,quantile_25,quantile_50,quantile_75
DJI_0256,119.00315729911739,0.9441383702993189,92.9610600537042,86.70117408379332,48.60444496250171,92.9610600537042,135.30561904629502
DJI_0344,149.68052231705772,0.9267529338546912,94.54577300399148,87.70444370912624,46.07761505178438,94.54577300399148,138.37317134265814
DJI_0345,136.32952273815238,0.9200480690765026,96.49958202885924,89.66096502852189,47.905055046664486,96.49958202885924,137.56602007518637
DJI_0346,137.3432399609397,0.9046442147178309,97.34860646114093,89.45596949945315,48.80069031557966,97.34860646114093,138.2566598150328
DJI_0347,154.98801629482068,0.9353214414543796,94.0016917203187,86.63138838098288,44.76606458790186,94.0016917203187,138.13467620691898
DJI_0348,142.22940795324897,0.9233893925114665,95.90521847854176,89.31063741149401,47.32153058983291,95.90521847854176,138.0108931783389
DJI_0349,136.98133941721053,0.8983434626746368,97.69274610001646,89.97316553745162,48.57598332157869,97.69274610001646,138.5491488590303
DJI_0350,150.99242484589251,0.904480114716104,97.03779716545954,86.77354567241372,46.89284681203764,97.03779716545954,140.11930113962393
DJI_0351,139.0878240230656,0.8802622649722313,99.9410928552653,89.4574464638627,50.112255024295095,99.9410928552653,139.5697014881578
DJI_0352,124.23031129130243,0.9676104024057932,92.37703153189756,89.05880474124118,46.51882261762294,92.37703153189756,135.5776273588641
DJI_0353,122.89444829409915,0.9818371007898916,91.08823409712915,89.03601437795024,46.08110151972013,91.08823409712915,135.11711589767037
DJI_0354,142.93657894323988,0.8906718812451162,98.52976925258143,88.28189813115334,47.97979543774254,98.52976925258143,139.6978973065892
DJI_0355,140.0467193030081,0.9149533135493961,96.49599262189265,89.22420835811741,48.243069100291216,96.49599262189265,139.0188607421738
DJI_0356,144.89765354995555,0.9144240118762572,97.30818259765495,88.75796265293499,47.508119865912526,97.30818259765495,138.75015721297754
DJI_0357,42.58510853522679,0.9400481611681017,85.87615953759664,89.7443797987315,42.73090430334051,85.87615953759664,132.986524504609
DJI_0358,130.72102509207798,0.9194154363747707,96.05720825523633,88.22587233676815,49.388862974278126,96.05720825523633,137.61473531104627
DJI_0359,128.0515090217878,0.9423575365151322,94.03379862670283,88.41595750263164,47.816019900007895,94.03379862670283,136.23197740263953
DJI_0360,134.56005582016874,0.8703277565645892,99.5598228731793,87.87478188251914,51.16970369166195,99.5598228731793,139.0444855741811
DJI_0361,133.22096318187783,0.8621648319744513,100.24291467438793,87.23431647604431,51.7649055881482,100.24291467438793,138.9992220641925
DJI_0362,134.79751218815403,0.8440588830996214,101.95832425724718,86.89551815475964,52.8973979910016,101.95832425724718,139.79291614576124
DJI_0363,135.17620907477527,0.9077795535616563,96.83182399703833,89.23433292315741,48.86713808959589,96.83182399703833,138.1014710127533
DJI_0364,131.43143400696252,0.8241473133286464,103.06449656878404,84.96511238134573,53.89292340046623,103.06449656878404,138.85803578181196
