image,month,hog_angle,human_angle,circular_distance
DJI_0345,4,44.455178800657045,49.73852340635834,0.00847893539948924
DJI_0346,4,47.72170959284713,45.45370036852523,0.001566092907855643
DJI_0357,4,134.69315449269868,43.536628854789015,0.9995926138308459
DJI_0358,4,41.08313803840929,44.60965997097271,0.003783549561411026
DJI_0362,4,44.359150597066154,46.167364193699505,9.95657586913612e-4
DJI_0363,4,44.382481149001855,48.55461929640181,0.005293030051695569
DJI_0365,4,29.37344871697036,77.52352300966754,0.5548684443669739
DJI_0373,4,47.32343178214443,42.6580280367399,0.006615659675587027
LL grass10 March 2023,4,47.40625589191853,50.972611067257624,0.0038693941598135773
LL grass24 March 2023,4,44.04560412746136,42.62396952108168,6.155191697543305e-4
LL grass4 March 2023,12,167.28500044357108,162.45102934889294,0.00710120649063406
LL grass9 March 2023,4,45.244084825491576,50.217937023442296,0.007517081618122368
