date_only,month,max_speed,angle,circular_mean,circular_var,circular_median,circular_IQR
2022-01-01,1,12.69,337,151.57732275115123,0.6672913047166756,137.00000000000003,85.99999999999993
2022-01-02,1,14.21,26,83.61877681421916,0.800461515864068,74.00000000000003,75.99999999999994
2022-01-03,1,13,200,3.5345197147669163,0.2564097579335137,34.999999999999986,30.00000000000003
2022-01-04,1,14.6,207,11.427878784619669,0.36464299771566766,36.999999999999986,41.99999999999997
2022-01-05,1,14.64,238,53.578684937687186,0.4768051596820276,59.999999999999986,36.99999999999998
2022-01-06,1,14.57,257,109.13196618818628,0.9387227175615214,86.99999999999997,87.00000000000001
2022-01-07,1,14.6,245,51.68042854848125,0.464150403390032,66.00000000000001,28.000000000000018
2022-01-08,1,13.24,168,29.952643075184024,0.5760237203382139,45.999999999999986,69.99999999999999
2022-01-09,1,14.64,298,104.94627833540036,0.7923355465746972,97,63
2022-01-10,1,14.68,204,173.45941629853832,0.6930974071583418,113,58
2022-01-11,1,13.12,223,5.960091951820143,0.4306303254142647,40.00000000000001,56.999999999999986
2022-01-12,1,13.08,18,20.5414078769701,0.27856481729835925,21.999999999999996,37
2022-01-13,1,14.6,359,170.88205714452906,0.2123829789573997,156,39.99999999999997
2022-01-14,1,14.64,8,0.75626908358933,0.4201100844616107,77.99999999999999,44.00000000000003
2022-01-15,1,14.64,48,32.89749560008658,0.27750719029330506,22.999999999999993,36.99999999999999
2022-01-16,1,13,37,47.75044610952084,0.48459018513647034,49,46.99999999999997
2022-01-17,1,14.6,277,105.18492876196004,0.35411084547101634,106,37.99999999999997
2022-01-18,1,13.24,202,47.77263912212536,0.5274567717280125,58,48
2022-01-19,1,14.68,344,92.65884184518498,0.656827694017813,93.5,68.99999999999997
2022-01-20,1,14.68,244,40.04826351265805,0.5804272646516255,63,62
2022-01-21,1,14.68,1,3.3530241344328133,0.3587793184711281,6.500000000000003,90
2022-01-22,1,14.06,330,12.519617196540189,0.4133978833307965,23.999999999999982,74.00000000000003
2022-01-23,1,14.64,108,14.388736021179422,0.31622972308592623,12,24
2022-01-24,1,14.6,279,73.58859955904619,0.6794191182979177,75.00000000000001,49.999999999999936
2022-01-25,1,14.6,320,139.1213964044068,0.23519789054930484,139,7.000000000000028
2022-01-26,1,14.68,207,10.136859342985664,0.5451023154105101,45,67.00000000000003
2022-01-27,1,14.68,338,173.63269007461884,0.43927051546507656,89.5,25
2022-01-28,1,14.68,29,173.3538333208907,0.36253218920337493,33,42
2022-01-29,1,14.68,193,29.46107353032933,0.6573949220884285,49.99999999999999,66
2022-01-30,1,14.64,125,8.37562354967704,0.5771143359226334,45.49999999999999,57
2022-01-31,1,14.68,51,160.8805370811987,0.2794890294875416,149.99999999999997,45.99999999999997
2022-02-01,2,14.68,210,21.800976707515947,0.32833208873103836,31.999999999999996,47
2022-02-02,2,13.24,337,4.672516383990211,0.6878234708016968,76.99999999999999,42
2022-02-03,2,12.81,22,27.450353883084116,0.19436915745756267,34,27
