image,human_angle,hog_angle,circular_distance
DJI_0256,68.57935562755895,29.914194391329655,0.39033505280636943
DJI_0344,15.912758527322998,55.77365768636584,0.41078605963027076
DJI_0345,49.73852340635834,44.455178800657045,0.00847893539948924
DJI_0346,45.45370036852523,47.72170959284713,0.001566092907855643
DJI_0347,0.04724716593928621,65.80437207346849,0.8314031488224674
DJI_0348,31.867654693798293,52.00850021044197,0.1185625132200277
DJI_0349,39.13052060903366,46.11966808948899,0.014806348716342288
DJI_0350,25.151265899693325,58.68163829778584,0.3051225035635987
DJI_0351,34.483856848730774,49.830972527671925,0.07004816519110141
DJI_0352,107.33572923931663,33.3479733761427,0.9239107653404657
DJI_0353,69.5249288522044,30.5652290712318,0.39535625652227413
DJI_0354,30.298571388400557,53.44801212494471,0.15455173765326152
DJI_0355,38.242946111374906,51.049865751631216,0.04913593316494097
DJI_0356,33.88041253543643,56.00032442015548,0.14178706709865768
DJI_0357,43.536628854789015,134.69315449269868,0.9995926138308459
DJI_0358,44.60965997097271,41.08313803840929,0.003783549561411026
DJI_0359,51.22857255638173,38.87908902525956,0.04574214462222248
DJI_0360,52.3552396537035,44.62881766106915,0.01807496429722877
DJI_0361,57.877468433328445,42.52611545316227,0.07008592062036301
DJI_0362,46.167364193699505,44.359150597066154,9.95657586913612e-4
DJI_0363,48.55461929640181,44.382481149001855,0.005293030051695569
DJI_0364,53.67993625919958,41.221355288900064,0.04654107012564812
DJI_0365,77.52352300966754,29.37344871697036,0.5548684443669739
DJI_0366,69.42566975149622,35.08517481299093,0.3182198322024579
DJI_0367,69.41238393603544,27.688520761934296,0.4429451754180981
DJI_0368,50.17720512410841,38.23953384465677,0.042785887660001076
DJI_0369,58.96389066514547,11.276326253008536,0.5468380735200999
DJI_0370,65.62400826829824,38.46357650259078,0.2083772686207222
DJI_0371,57.12389904536387,173.32292865904594,0.8050860003386628
DJI_0372,52.858659445082125,47.23540180324597,0.009601428030790282
DJI_0373,42.6580280367399,47.32343178214443,0.006615659675587027
DJI_0374,59.47824188836355,33.8957602071851,0.18645986850170965
LL aerial1,61.53135727219343,37.29809867713339,0.168471193129279
LL grass,140.51893006085592,171.96233184743502,0.2721250350303073
LL grass1 March 2023,170.484688603714,177.18375327189094,0.013608277958100767
LL grass10 March 2023,50.972611067257624,47.40625589191853,0.0038693941598135773
LL grass11 March 2023,173.87805666280127,66.89593812335544,0.9146932242331294
LL grass12 March 2023,32.55629307005829,52.38129846676053,0.11502171405787531
LL grass13 March 2023,36.24108592942461,44.098396666222,0.01868867011010833
LL grass15 March 2023,34.749635669935465,48.66444970654758,0.05783015751954418
LL grass16 March 2023,77.01591020943508,38.494943240520584,0.3878810664758545
LL grass17 March 2023,77.59242511444698,30.993626217246668,0.5278898219601174
LL grass18 March 2023,30.655977689635325,54.6435480620167,0.16527351201858798
LL grass19 March 2023,39.027044055998445,50.470514924022325,0.03936296661828903
LL grass2 March 2023,27.329134796027112,7.430265734464324,0.11584560363366547
LL grass20 March 2023,51.45884944194708,41.79987339504398,0.02815132627552258
LL grass21 March 2023,53.36900740007579,37.657360383098535,0.07333054683984652
LL grass22 March 2023,49.7187058989992,43.76372345627844,0.010763446370754937
LL grass23 March 2023,55.77620308799386,43.20733162629213,0.047355416923710536
LL grass24 March 2023,42.62396952108168,44.04560412746136,6.155191697543305e-4
LL grass25 March 2023,55.77783057009806,44.6029247786509,0.037560260671325785
LL grass26 March 2023,56.71510193551076,41.26632731148399,0.07095656450334059
LL grass27 March 2023,76.20090941436878,28.816676214547467,0.5415646978718617
LL grass28 March 2023,72.24077896508665,36.415980524470115,0.3425862278429898
LL grass29 March 2023,76.21333965183634,28.301194906464936,0.5507390247236799
LL grass3 March 2023,90.51044605727832,3.0035779256625457,0.9981077822217748
LL grass30 March 2023,47.615159048604035,36.5607423844589,0.03676469144149941
LL grass31 March 2023,49.7791239296955,33.08219984464893,0.08254651830208415
LL grass32 March 2023,92.99531554968787,35.28799184397414,0.7145830265188251
LL grass4 March 2023,162.45102934889294,167.28500044357108,0.00710120649063406
LL grass5 March 2023,59.90356833129862,3.9974147540898906,0.6857836330384803
LL grass6 March 2023,45.79093728465351,9.422745864561085,0.35161572964010906
LL grass7 March 2023,80.47299757181656,2.2613220482245153,0.9582629083830932
LL grass8 March 2023,17.57662467419737,58.504491071052506,0.4291669547493026
LL grass9 March 2023,50.217937023442296,45.244084825491576,0.007517081618122368
