theta,mag,radian
144.953480703,0.662256398,2.5299155004934146
117.489882771,0.672322934,2.050585292136109
108.311284304,0.776968102,1.890388528168455
96.955334517,0.742727275,1.692189814694156
89.365772201,0.730492911,1.5597269634946698
86.683522912,0.663002693,1.512912882042343
78.558461258,0.680626861,1.3711038042525066
80.118131644,0.620510467,1.3983251877340575
87.513272827,0.638852999,1.5273947500272358
84.154077662,0.660401861,1.468765734180912
89.623174492,0.58378674,1.5642194809747965
78.97058054,0.546185074,1.3782966426343615
78.079822592,0.556194501,1.3627499836034531
96.256979912,0.477470207,1.6800012274904417
103.403759086,0.524816131,1.8047360549897022
96.310826185,0.554342123,1.6809410222442194
80.588611393,0.640616446,1.406536608418064
89.159532857,0.697179502,1.5561274078947167
95.173067717,0.49657642,1.6610833908851728
63.90817248,0.382708868,1.11540802870843
84.763536138,0.377849616,1.4794027912412988
108.940669507,0.476193925,1.9013733722241377
90.890309527,0.627242949,1.58633515940292
95.493051003,0.619601194,1.6666681527772236
95.129701595,0.636063962,1.6603265092724513
85.26558266,0.590906154,1.4881651560483848
78.627424529,0.64052439,1.3723074403944016
65.696283073,0.623235136,1.1466164459460684
68.260278669,0.463875953,1.1913666111029027
97.48698306,0.411850166,1.7014688322329368
113.319332767,0.445316694,1.9777954629472463
84.161813521,0.385365555,1.4689007503909317
72.338368641,0.354022103,1.262542708306866
106.541796928,0.397010693,1.85950514738478
123.387672045,0.490121541,2.153521133556215
98.893108901,0.556202208,1.726010357855761
85.98505531,0.500701224,1.5007223226689337
95.6022525,0.572636124,1.6685740784479803
80.577381312,0.565206457,1.4063406065293482
73.432151845,0.667943556,1.2816328265196788
71.426046363,0.614736545,1.246619680716471
77.462214147,0.526776242,1.3519706827500808
84.823121411,0.410669422,1.4804427504408484
93.302811029,0.344996743,1.6284412538221285
124.166331031,0.476211747,2.1671112966121555
109.876791808,0.49553615,1.9177117885779331
82.484420128,0.44605993,1.4396247128318826
99.510054618,0.606443694,1.736778091923488
90.104435154,0.541211116,1.572619064087024
85.563230599,0.473110005,1.4933600925957098
106.801912646,0.64581801,1.8640450231000691
98.52580759,0.724606058,1.7195997406319194
89.560982991,0.662771128,1.563134034515589
99.64492801,0.777676008,1.7391320766872211
91.885310394,0.65746379,1.6037012005922682
58.742160037,0.714240494,1.0252441023790841
51.969670161,0.548921015,0.9070418554849017
115.259269977,0.44087807,2.011653754543699
127.699417541,0.644855696,2.228775288969451
97.164198206,0.703678638,1.6958351737550674
78.955626218,0.608384565,1.3780356404780583
87.691253747,0.646445008,1.5305011030869646
93.637343143,0.661026134,1.6342799406650854
90.320378479,0.747822688,1.5763879861059782
75.849851424,0.674625468,1.3238296444973094
69.886932578,0.572172654,1.2197570776053888
96.554999625,0.571191381,1.68520265271814
111.632112157,0.649315976,1.948347908095239
93.270710294,0.638227216,1.6278809903040683
70.306936793,0.602855051,1.227087534029393
88.887816142,0.657533019,1.5513850565852636
95.009424894,0.6770341,1.6582272848265647
104.129152109,0.715886417,1.8173965516120474
104.134343394,0.734268521,1.8174871566277067
67.255208397,0.607523292,1.1738248256425876
46.241450466,0.538201897,0.8070655615295663
79.339466465,0.38935416,1.3847349165898764
104.066680199,0.53656857,1.8163062110925379
104.433481168,0.618168687,1.8227080957010935
83.891803992,0.606276171,1.4641881950981228
63.611031052,0.589918032,1.1102219324457523
96.983925622,0.570714299,1.6926888236131896
110.794271877,0.63649034,1.9337248366034079
91.00629027,0.414321355,1.5883594052371792
83.229816095,0.426534027,1.4526343266871196
83.474201039,0.483236982,1.4568996486022214
66.911609381,0.371994753,1.167827891506775
101.493500799,0.528370294,1.7713957583180457
99.631055307,0.634413591,1.7388899523437198
91.2005652,0.558019778,1.5917501424197609
96.647594465,0.713325469,1.6868187375464976
85.724497941,0.614316132,1.4961747386895496
73.226887087,0.453546654,1.2780502806542693
70.038521412,0.365967578,1.2224028018679478
99.656174416,0.378673632,1.7393283635009371
104.866636796,0.561208665,1.8302680875832371
97.654530013,0.502734993,1.704393078214471
84.780986006,0.524488778,1.4797073488919372
79.590975689,0.503022414,1.3891245806478125
85.766742767,0.559394259,1.4969120499951818
101.825981321,0.501107827,1.777198638125695
102.413599851,0.489284829,1.787454516219924
83.724798112,0.479840603,1.4612733926219321
93.388450682,0.510594411,1.629935947737244
97.328971137,0.604360691,1.6987110039191788
72.10905929,0.49416352,1.2585405051263048
45.754365132,0.397649885,0.7985643187130899
66.955748524,0.342909538,1.1685982648811335
66.544793206,0.262798699,1.1614257415034532
71.809378939,0.197323772,1.2533100962978223
127.249835851,0.427664175,2.2209286082222706
122.273069147,0.658206721,2.1340676431338443
103.518908543,0.570816579,1.806745792146236
78.993529762,0.476198944,1.3786971821190326
62.915685356,0.479778312,1.0980858606109807
60.589417575,0.388729172,1.0574848285494682
111.557254212,0.243654513,1.9470413904837123
110.561354971,0.441491643,1.9296596697101498
80.038007392,0.42854946,1.3969267557259597
97.593071783,0.401040217,1.703320429748523
98.917358558,0.575534995,1.7264335942128903
110.901946469,0.519640625,1.9356041127545494
93.42372691,0.641176918,1.6305516340635282
72.043049026,0.517488422,1.257388408679394
79.240365435,0.462071719,1.3830052773242587
98.054214671,0.415846801,1.7113688914662784
110.962191383,0.767280939,1.9366555848614304
104.405386699,0.761460261,1.8222177547154441
98.795658865,0.766830057,1.7243095338713739
85.03160562,0.791724736,1.484081486326314
71.289070141,0.651360277,1.2442289946456282
82.366154926,0.572177982,1.4375605956664463
97.321411409,0.649317511,1.6985790617750238
79.189939954,0.695351005,1.3821251866539068
74.190286663,0.537512188,1.2948647752677866
80.260891533,0.515282027,1.4008168178368892
81.345713012,0.481168246,1.4197505244417936
82.490384394,0.403539294,1.4397288089110474
73.525154765,0.328602516,1.2832560336876475
122.1642861,0.529442049,2.132169020793343
115.132995616,0.742957895,2.009449851183397
80.8315467,0.632707557,1.4107766293945572
70.247189544,0.591195318,1.226044747815334
72.573064915,0.613561879,1.2666389310303288
94.108082024,0.600740429,1.6424958840556894
113.97993367,0.668515761,1.989325123746244
91.408036088,0.612953926,1.5953711925173972
81.580097853,0.605069006,1.423841311634007
92.330998212,0.588569687,1.6114799204523973
92.025626469,0.577006468,1.6061501780944936
75.765933098,0.556420696,1.3223649934058477
74.655697953,0.53941805,1.302987734654241
90.390875078,0.442400374,1.5776183838699862
111.266278207,0.481077423,1.9419629011521629
115.38602884,0.668096077,2.0138661140591334
99.0759334,0.648945206,1.72920124731662
95.787914688,0.666435224,1.6718144949250369
90.367472945,0.671922429,1.5772099395971466
70.113231757,0.517574083,1.2237067433734987
105.166506933,0.431074413,1.8355018088022934
101.703853175,0.605496367,1.7750670998686389
79.111588461,0.927537627,1.3807576951272036
65.9495347,0.877729808,1.151036520673251
72.982932949,0.623113388,1.2737924777223049
94.739915423,0.651984695,1.6535234571923063
105.352096595,0.664325183,1.8387409594618571
110.030492686,0.597248565,1.9203943749622394
69.695063255,0.774879916,1.2164083261854661
85.025698597,0.465506272,1.4839783893259733
120.759653619,0.595295783,2.107653559219436
96.004316894,0.697007839,1.675591425928316
86.700798921,0.66396924,1.513214405280997
89.600128662,0.604182029,1.5638172553624414
91.114303589,0.738727288,1.5902445932897362
89.150865696,0.788021502,1.5559761373984662
87.255214095,0.681378934,1.5228907754903143
73.074979421,0.678819681,1.2753989917235495
67.381086453,0.501077258,1.1760218121757973
90.438178797,0.382845475,1.5784439895149744
95.277272474,0.494632222,1.6629021069910634
94.722197476,0.40215663,1.6532142206804625
94.763111705,0.41278642,1.6539283086874275
83.389368958,0.48038414,1.455419049477453
100.190127534,0.533410055,1.748647603461327
95.167211781,0.544106308,1.660981185521187
90.289076164,0.491684844,1.5758416576457315
101.059288292,0.61269276,1.7638173204175567
89.138909104,0.532807058,1.5557674555007486
75.744601709,0.546932211,1.3219926904337738
65.926371611,0.533017362,1.1506322485052682
93.132517878,0.435435289,1.6254690776435827
101.076974656,0.525049828,1.764126005702063
94.116278183,0.614662615,1.6426389340162564
102.974995658,0.739883164,1.7972527214589646
91.339980823,0.737933601,1.59418340406983
80.160952599,0.663697534,1.3990725543876557
100.452111,0.539243617,1.7532200775288136
92.499313312,0.473703352,1.6144175731282209
85.730858719,0.591069946,1.4962857552086382
92.218308248,0.673957632,1.6095131095466435
79.150341679,0.604811608,1.3814340663770466
94.93694826,0.545705832,1.6569623289325015
103.322627137,0.649742863,1.8033200353510923
100.141843399,0.669833865,1.7478048863290996
99.666039935,0.707314753,1.7395005492899054
89.012524749,0.799470596,1.553561632382989
87.533014415,0.677925654,1.527739305737408
86.515227893,0.754230909,1.5099755798460865
92.151190503,0.769492318,1.6083416839098794
96.247209783,0.732367314,1.6798307065710472
83.064655176,0.765070649,1.44975172485495
83.404511044,0.815934581,1.4556833287337732
94.260099951,0.740257961,1.6451490974038958
97.101230892,0.745462942,1.6947361868046305
81.093222561,0.739763701,1.4153437347419984
78.80670935,0.812400128,1.3754365508197004
91.667226347,0.781044042,1.599894915926044
95.298527663,0.723582998,1.663273080022247
84.787962704,0.767963129,1.4798291152429541
79.118476745,0.727715731,1.380877918362816
90.626256678,0.744838505,1.5817265677885985
99.690737998,0.776282792,1.7399316118081203
94.630971849,0.766747839,1.6516220331271163
82.162665067,0.68027121,1.4340090276324775
73.53579392,0.717279157,1.2834417219720278
92.855364968,0.640553591,1.620631846832599
101.015947513,0.659224491,1.7630608811236275
86.439251589,0.705316956,1.5086495431877902
93.652616959,0.678905831,1.6345465190436292
85.7542096,0.671217625,1.4966933049653295
93.153294306,0.570913754,1.6258316947189864
101.523991116,0.579564523,1.7719279147396725
79.135346426,0.658649501,1.3811723498400272
76.325828447,0.550202692,1.3321370107125003
91.72793632,0.420594405,1.6009545048436908
85.955634715,0.534733964,1.5002088364182877
91.17118179,0.607633143,1.5912373051697974
102.918569315,0.664103762,1.796267895988755
94.532133728,0.543916013,1.6498969824891818
74.152216755,0.561940586,1.2942003300272553
72.215325625,0.724784494,1.260395202556082
86.129359732,0.63935357,1.5032409099580208
94.948743856,0.581959721,1.6571682009199367
85.737244974,0.418211652,1.4963972163852601
83.710668389,0.350110178,1.4610267824331875
101.667715077,0.375684376,1.7744363710731303
92.192162449,0.437841452,1.6090567792685289
75.101099847,0.456048701,1.3107614641991596
83.358111271,0.424041816,1.4548734999227453
98.908605042,0.446548881,1.7262808165375645
94.590695423,0.500812084,1.6509190768824804
92.996249453,0.500430331,1.6230907449608258
90.20676731,0.369751738,1.5744050971398884
68.902504119,0.33699101,1.2025755597455048
78.449207204,0.350358201,1.3691969612890549
85.406258886,0.423232528,1.4906204193713646
79.151570162,0.449230863,1.3814555074502015
80.031164129,0.329399416,1.39680731825503
94.368527617,0.248996775,1.6470415171758483
82.693580043,0.213258603,1.443275242011824
70.11994309,0.243356063,1.2238238782315467
89.33705458,0.246997041,1.55922574645488
97.059069273,0.228491874,1.6940003277351092
108.111451729,0.208082131,1.8869007917819662
107.586588342,0.200409964,1.8777401975556471
121.230290656,0.434154479,2.1158677250969165
118.73307747,0.689322949,2.072283132876999
76.173376708,0.449529827,1.3294762259165593
31.852414671,0.416177715,0.5559295107194964
51.271056386,0.18705565,0.8948487449113647
82.714969731,0.192253457,1.4436485624933983
78.215611673,0.218006595,1.3651199501551603
85.063613784,0.184767041,1.4846401341756326
67.012248275,0.166924354,1.1695843715626406
59.735713983,0.164792962,1.042584890032966
92.630911071,0.128475372,1.6167143873110168
134.477893988,0.185166788,2.3470820212384877
96.253489602,0.18899457,1.6799403100890264
53.018791687,0.256238617,0.9253524803671488
68.438505598,0.186382403,1.194477257829671
103.17237335,0.130785393,1.800697612054352
99.842381272,0.116037575,1.7425782862279242
89.023009391,0.1490038,1.553744623906782
93.991388563,0.167880654,1.6404591989456918
76.820108311,0.10593489,1.3407638217656102
63.165969201,0.097482141,1.102454137770782
86.570214043,0.102277287,1.5109352692065818
119.527658854,0.101903875,2.086151194202852
92.077724307,0.136788545,1.607059456900764
69.361648193,0.104477601,1.210589135577825
111.009008173,0.123677183,1.937472691992145
120.07588821,0.155066061,2.0957196015211403
103.462069435,0.150373513,1.8057537625677393
78.07938203,0.152619127,1.3627422943459941
82.739080031,0.154668911,1.4440693666120419
95.887812253,0.164286056,1.6735580363490121
93.096725844,0.18940889,1.624844388804297
78.959248928,0.209632536,1.378098868695403
74.372900215,0.191858929,1.2980519830089485
83.701287533,0.150480565,1.4608630556093318
81.619247164,0.134057874,1.4245245960108444
72.514166942,0.12252221,1.2656109674787281
77.242744676,0.106512778,1.3481402178735207
93.731560945,0.100677631,1.6359243515239776
105.055368854,0.092613079,1.833562083399402
94.917172215,0.095470948,1.656617171834229
88.819726277,0.113953213,1.550196664253775
90.314855856,0.149461182,1.5762915981512817
88.147783572,0.131243606,1.538469051666768
117.058844756,0.204579534,2.043062259573098
101.526639595,0.476268534,1.7719741394183923
86.605073321,0.414369836,1.51154367838255
93.73322345,0.295640944,1.6359533677100584
111.651772939,0.36809848,1.948691053474656
80.278662837,0.259840732,1.4011269856040618
53.855282792,0.282248639,0.9399520043130444
85.79841796,0.191145629,1.4974648864042364
123.495381135,0.185440528,2.155401011811042
122.575339999,0.262618474,2.1393432647340527
74.035853295,0.239897341,1.2921694045212426
63.020867699,0.253596113,1.0999216388112927
101.418274413,0.126816503,1.7700828101979695
95.755700278,0.163508778,1.6712522474039497
103.016128933,0.233425007,1.797970632539843
124.018865906,0.278016908,2.1645375446490402
106.141313805,0.498371632,1.8525153982897604
94.348861125,0.541590028,1.6466982721381314
80.826105622,0.433925914,1.4106816646685993
88.897927005,0.506739896,1.5515615244348315
108.721616611,0.510592564,1.8975501779529091
107.827123692,0.27887165,1.8819383313805842
90.726403089,0.378493148,1.583474452394604
79.739466245,0.534578857,1.3917162297581294
57.272923916,0.549960891,0.9996010945784043
36.52031699,0.36026695,0.637399775347525
66.52370517,0.264087674,1.1610576858424742
105.054305874,0.307152433,1.833543530898519
126.663278619,0.486119379,2.2106912532724863
119.782643936,0.614850317,2.0906015234272197
104.178761393,0.544640666,1.8182623969574043
99.986727994,0.612701558,1.7450976117912853
84.901460041,0.666300193,1.48181001746585
71.798389868,0.579055582,1.253118300827137
91.246184294,0.479713344,1.5925463458118376
48.572446172,0.406726939,0.8477491114491159
22.498854301,0.400774832,0.3926790854789374
82.365113559,0.128028896,1.4375424203835747
134.228313512,0.183326468,2.3427260201835933
146.286940514,0.232554426,2.553188764638386
142.431774756,0.237212021,2.4859034289511435
62.20945965,0.223247344,1.0857598967790592
35.712930199,0.322543463,0.6233082175074637
83.141733222,0.19516031,1.4510969905386535
86.433597125,0.212606639,1.5085508541735548
50.611646307,0.283449237,0.8833398679119788
11.979828937,0.609691159,0.20908745877634236
15.363821954,0.37057348,0.2681492787874888
173.259003054,0.141829382,3.023940062015211
81.996856163,0.05154941,1.4311151163285543
41.149310368,0.100092153,0.7181909508466395
54.298970693,0.108553412,0.9476958190367571
48.210690842,0.075913019,0.8414352898539773
56.862672659,0.052775852,0.9924408593833088
102.926090695,0.204131532,1.7963991688340488
62.472928058,0.117873405,1.090358287973647
3.741713176,0.12112904,0.06530521458645408
64.014169817,0.090319124,1.1172580312374258
156.097539201,0.067237066,2.7244160133183684
117.675327403,0.072515067,2.053821911544658
24.080436404,0.083635471,0.42028290056690343
158.749127842,0.130335562,2.7706949655123005
21.576494171,0.157132232,0.37658086432131443
121.425068516,0.26360607,2.119267240063905
175.610281625,0.354437105,3.064977614710748
163.514882244,0.123351704,2.853873071168614
56.949423902,0.195649895,0.9939549542038565
166.977649956,0.257517327,2.9143097689747646
164.611164354,0.172531107,2.873006803518825
86.519296418,0.10457843,1.5100465890030361
133.204579305,0.040703591,2.32485848760615
147.827103293,0.006578462,2.5800696761486015
72.074002183,0.067865036,1.2579286431829306
0.387840054,0.197069391,0.006769085913412604
150.838140024,0.182838348,2.632622181003039
147.265768777,0.026085967,2.570272540639313
25.429132367,0.02765114,0.4438220857296091
40.271155429,0.093847184,0.7028642558184395
80.737726022,0.0173179,1.4091391496570038
8.007425907,0.072607663,0.13975594668664326
164.651712183,0.175184482,2.87371449663941
122.001058583,0.170280245,2.1293201631918377
109.530200603,0.060977969,1.9116626308922284
4.121877588,0.058258748,0.07194033527476232
44.267033415,0.098187333,0.7726054831820994
77.423244687,0.11543878,1.3512905373653565
133.872836901,0.181799707,2.336521782907812
145.947784036,0.209676409,2.5472693674178184
168.073090241,0.173536846,2.9334288087069997
93.967730613,0.21636864,1.6400462898239194
49.909579375,0.188807682,0.8710864883792037
116.898212589,0.106552902,2.040258699374335
31.073726217,0.154224721,0.5423388333499319
47.433478013,0.146326945,0.8278703669991876
12.226018454,0.12935056,0.2133842764318869
61.735525999,0.162683975,1.0774881941331116
38.152550094,0.311439544,0.6658876171723721
7.467841005,0.044884442,0.13033841355269232
175.453735106,0.05024304,3.0622453625216624
121.304141679,0.010862174,2.1171566686042325
32.177960804,0.184454057,0.5616113626074818
11.382337374,0.229239864,0.19865926374910522
162.945499157,0.221581752,2.8439354615952945
47.746332919,0.115780283,0.833330715189905
9.067156113,0.30325021,0.15825172796418102
155.626050915,0.095389683,2.716186990343084
62.727007568,0.114057484,1.0947928119850008
49.310590151,0.095984386,0.8606321542364378
23.421593465,0.111039879,0.4087839220278373
147.102958961,0.006595971,2.567430973295547
8.536423888,0.212890268,0.14898870319149565
128.565642235,0.139071875,2.2438937619418318
49.612914321,0.102331436,0.8659087064112969
133.730319017,0.100873439,2.334034376589037
80.208815476,0.211632601,1.3999079191807828
96.512223303,0.178296495,1.6844560650573468
47.951614483,0.159540016,0.8369135543753485
72.001296739,0.119161075,1.2566596938010062
70.371726847,0.111906047,1.228218333794238
54.794579218,0.232345561,0.9563458195989598
37.417408369,0.407082342,0.6530569736023314
21.303052903,0.190674255,0.37180841388388625
34.700492544,0.16026077,0.6056378469565433
18.116495402,0.227291449,0.3161924936873137
31.290246437,0.09637315,0.5461178240860745
35.804725986,0.086571501,0.6249103562300732
98.538479727,0.244854355,1.7198209111458331
79.822954969,0.376834791,1.3931733828802182
149.079801264,0.177439316,2.601933380275604
38.466896605,0.219000485,0.6713739987814787
154.210806252,0.073132461,2.6914863112524565
21.050834844,0.087179652,0.3674063783213469
133.427302362,0.054796655,2.328745738270907
25.159401898,0.312964962,0.4391144009526105
73.064343935,0.137736231,1.2752133674752997
65.423048887,0.19969921,1.1418476097713615
179.980135193,0.054709276,3.14124594730237
10.333111137,0.278800942,0.18034681131514485
15.890549872,0.279298419,0.27734241521876346
51.342465595,0.097559506,0.8960950707246595
17.338804292,0.207888062,0.3026192232543243
13.425089397,0.128456798,0.23431201235223015
78.788917776,0.103424321,1.3751260292742882
85.948659246,0.049696085,1.500087091517367
32.506466372,0.042158701,0.5673448663802159
93.026478358,0.080924277,1.6236183388823484
114.213964351,0.195106798,1.9934097296803786
76.113193831,0.056274038,1.3284258365595865
124.218397707,0.056647737,2.168020031538924
142.400065804,0.154561438,2.4853500033363862
66.966576619,0.100786462,1.168787250790602
37.863720887,0.398448871,0.6608465965342978
54.848026951,0.268730689,0.9572786585175366
168.216640573,0.044716808,2.935934234642731
17.666720195,0.134423874,0.30834243543132467
12.39185384,0.101707741,0.21627864993390258
12.270157257,0.377687872,0.21415464387212604
168.865340408,0.2186953,2.9472561826206247
49.172932285,0.136258318,0.8582295712334687
46.253102155,0.184875009,0.8072689218660346
